 
PLAYER RUN STARTS
X Coordinates, Z Coordinates, Time (Seconds)
PLAYER RUN ENDS
 
 
PLAYER RUN STARTS
X Coordinates, Z Coordinates, Time (Seconds)
-566.4,-0.07,0.9358107
-566.4,-0.07,48.61799
-566.4,-0.07,96.56857
-566.4,-0.07,144.7941
-566.4,-0.07,193.2905
-566.4,-0.07,242.0592
-566.4,-0.07,291.0959
-566.4,-0.07,340.4029
-566.4,-0.07,389.9757
-566.4,-0.07,439.816
-566.4,-0.07,489.9313
-566.4,-0.07,540.3131
-566.4,-0.07,590.9606
-566.4,-0.07,641.8765
-566.4,-0.07,693.0579
-566.4,-0.07,744.5116
-566.4,-0.07,796.2328
-566.4,-0.07,848.2191
-566.4,-0.07,900.4724
-566.4,-0.07,952.9929
-566.4,-0.07,1005.778
-566.4,-0.07,1058.837
-566.4,-0.07,1112.162
-566.4,-0.07,1165.756
-566.4,-0.07,1219.617
-566.4,-0.07,1273.756
-566.4,-0.07,1328.177
-566.4,-0.07,1382.877
-566.4,-0.07,1437.847
-566.4,-0.07,1493.083
-566.4,-0.07,1548.586
-566.4,-0.07,1604.363
-566.4,-0.07,1660.411
-566.4,-0.07,1716.73
-566.4,-0.07,1773.317
-566.4,-0.07,1830.173
-566.4,-0.07,1887.301
-566.4,-0.07,1944.717
-566.4,-0.07,2002.417
-566.4,-0.07,2060.395
-566.4,-0.07,2118.649
-566.4,-0.07,2177.174
-566.4,-0.07,2235.968
-566.4,-0.07,2295.032
PLAYER RUN ENDS
 
 
PLAYER RUN STARTS
X Coordinates, Z Coordinates, Time (Seconds)
-566.4,-0.07,0.6760455
-566.4,-0.07,1.823157
-566.4,-0.07,3.448149
-566.4,-0.07,5.530012
-566.4,-0.07,8.022966
-566.4,-0.07,10.91281
-566.4,-0.07,14.21329
-566.4,-0.07,17.91594
-566.4,-0.07,22.03115
-566.4,-0.07,26.5748
-566.4,-0.07,31.53587
-566.4,-0.07,36.92196
-566.4,-0.07,42.7226
-566.4,-0.07,48.96783
-566.4,-0.07,55.64627
-566.4,-0.07,62.74429
-566.4,-0.07,70.2779
-566.4,-0.07,78.17983
-566.4,-0.07,86.43525
-566.4,-0.07,95.07924
-566.4,-0.07,104.0957
-566.4,-0.07,113.4797
-566.4,-0.07,123.2402
-566.4,-0.07,133.344
-566.4,-0.07,143.7915
-566.4,-0.07,154.672
-566.4,-0.07,165.9673
-566.4,-0.07,177.6381
-566.4,-0.07,189.6911
PLAYER RUN ENDS
 
 
PLAYER RUN STARTS
X Coordinates, Z Coordinates, Time (Seconds)
-566.4,-0.07,0.7625555
-566.4,-0.07,1.803263
-566.4,-0.07,3.129577
-566.4,-0.07,4.748875
-566.4,-0.07,6.657344
-566.4,-0.07,8.853797
-566.4,-0.07,11.33004
PLAYER RUN ENDS
 
 
PLAYER RUN STARTS
X Coordinates, Z Coordinates, Time (Seconds)
-566.4,-0.07,0.8118556
-566.4,-0.07,1.915501
-566.4,-0.07,3.312328
-566.4,-0.07,5.017001
-566.4,-0.07,7.030109
-566.4,-0.07,9.380492
-566.4,-0.07,12.03544
-566.4,-0.07,14.98788
-566.4,-0.07,18.23346
-566.4,-0.07,21.80181
-566.4,-0.07,25.65386
-566.4,-0.07,29.79735
-566.4,-0.07,34.29627
-566.4,-0.07,39.23431
-566.4,-0.07,44.61853
-566.4,-0.07,50.5019
-566.4,-0.07,56.82475
-566.4,-0.07,63.55032
-566.4,-0.07,70.67133
-566.4,-0.07,78.22143
-566.4,-0.07,86.18389
-566.4,-0.07,94.55517
-566.4,-0.07,103.3513
-566.4,-0.07,112.5217
-566.4,-0.07,122.0795
-566.4,-0.07,132.0605
-566.4,-0.07,142.4623
-566.4,-0.07,153.2599
-566.4,-0.07,164.54
-566.4,-0.07,176.2545
-566.4,-0.07,188.3677
-566.4,-0.07,200.8646
-566.4,-0.07,213.7605
-566.4,-0.07,227.0313
-566.4,-0.07,240.6993
-566.4,-0.07,254.774
-566.4,-0.07,269.3054
-566.4,-0.07,284.2586
-566.4,-0.07,299.6488
-566.4,-0.07,315.4527
-566.4,-0.07,331.6933
-566.4,-0.07,348.2957
-566.4,-0.07,365.2787
-566.4,-0.07,382.6657
-566.4,-0.07,400.4399
-566.4,-0.07,418.5897
-566.4,-0.07,437.1567
-566.4,-0.07,456.1665
-566.4,-0.07,475.6035
-566.4,-0.07,495.4413
-566.4,-0.07,515.6561
-566.4,-0.07,536.2271
-566.4,-0.07,557.1589
-566.4,-0.07,578.5273
-566.4,-0.07,600.3757
-566.4,-0.07,622.6761
-566.4,-0.07,645.4286
-566.4,-0.07,668.6671
-566.4,-0.07,692.3541
-566.4,-0.07,716.4883
-566.4,-0.07,741.0774
-566.4,-0.07,766.1726
-566.4,-0.07,791.7141
-566.4,-0.07,817.6581
-566.4,-0.07,844.005
-566.4,-0.07,870.7801
-566.4,-0.07,897.9581
-566.4,-0.07,925.5255
-566.4,-0.07,953.5096
-566.4,-0.07,981.9675
-566.4,-0.07,1010.888
-566.4,-0.07,1040.283
-566.4,-0.07,1070.18
-566.4,-0.07,1100.523
-566.4,-0.07,1131.303
-566.4,-0.07,1162.532
-566.4,-0.07,1194.233
-566.4,-0.07,1226.418
-566.4,-0.07,1259.025
-566.4,-0.07,1291.977
-566.4,-0.07,1325.307
-566.4,-0.07,1359.041
-566.4,-0.07,1393.208
-566.4,-0.07,1427.76
-566.4,-0.07,1462.746
-566.4,-0.07,1498.132
-566.4,-0.07,1533.964
-566.4,-0.07,1570.215
-566.4,-0.07,1606.888
-566.4,-0.07,1643.97
-566.4,-0.07,1681.468
-566.4,-0.07,1719.403
-566.4,-0.07,1757.763
-566.4,-0.07,1796.569
-566.4,-0.07,1835.755
-566.4,-0.07,1875.319
-566.4,-0.07,1915.304
-566.4,-0.07,1955.685
-566.4,-0.07,1996.423
-566.4,-0.07,2037.547
-566.4,-0.07,2079.088
-566.4,-0.07,2121.042
-566.4,-0.07,2163.388
-566.4,-0.07,2206.086
-566.4,-0.07,2249.131
-566.4,-0.07,2292.61
-566.4,-0.07,2336.49
-566.4,-0.07,2380.791
-566.4,-0.07,2425.555
-566.4,-0.07,2470.762
-566.4,-0.07,2516.419
-566.4,-0.07,2562.515
-566.4,-0.07,2609
-566.4,-0.07,2655.909
-566.4,-0.07,2703.251
-566.4,-0.07,2751.002
-566.4,-0.07,2799.183
-566.4,-0.07,2847.793
-566.4,-0.07,2896.81
-566.4,-0.07,2946.247
-566.4,-0.07,2996.067
-566.4,-0.07,3046.253
-566.4,-0.07,3096.848
-566.4,-0.07,3147.87
-566.4,-0.07,3199.274
-566.4,-0.07,3251.056
-566.4,-0.07,3303.214
-566.4,-0.07,3355.751
-566.4,-0.07,3408.718
-566.4,-0.07,3462.119
-566.4,-0.07,3515.903
-566.4,-0.07,3570.049
-566.4,-0.07,3624.566
-566.4,-0.07,3679.461
-566.4,-0.07,3734.711
-566.4,-0.07,3790.33
-566.4,-0.07,3846.318
-566.4,-0.07,3902.667
-566.4,-0.07,3959.386
-566.4,-0.07,4016.473
-566.4,-0.07,4073.923
-566.4,-0.07,4131.75
-566.4,-0.07,4189.932
-566.4,-0.07,4248.49
-566.4,-0.07,4307.409
-566.4,-0.07,4366.694
-566.4,-0.07,4426.343
-566.4,-0.07,4486.364
-566.4,-0.07,4546.746
-566.4,-0.07,4607.502
-566.4,-0.07,4668.623
-566.4,-0.07,4730.113
-566.4,-0.07,4791.963
-566.4,-0.07,4854.182
-566.4,-0.07,4916.774
-566.4,-0.07,4979.73
-566.4,-0.07,5043.053
-566.4,-0.07,5106.758
-566.4,-0.07,5170.819
-566.4,-0.07,5235.254
-566.4,-0.07,5300.049
-566.4,-0.07,5365.216
-566.4,-0.07,5430.754
-566.4,-0.07,5496.654
-566.4,-0.07,5562.92
-566.4,-0.07,5629.573
-566.4,-0.07,5696.579
-566.4,-0.07,5763.954
-566.4,-0.07,5831.705
-566.4,-0.07,5899.823
-566.4,-0.07,5968.316
-566.4,-0.07,6037.175
-566.4,-0.07,6106.411
-566.4,-0.07,6176.01
-566.4,-0.07,6246.011
-566.4,-0.07,6316.382
-566.4,-0.07,6387.119
-566.4,-0.07,6458.236
-566.4,-0.07,6529.71
-566.4,-0.07,6601.561
-566.4,-0.07,6673.782
-566.4,-0.07,6746.366
-566.4,-0.07,6819.329
-566.4,-0.07,6892.658
-566.4,-0.07,6966.359
-566.4,-0.07,7040.421
-566.4,-0.07,7114.85
-566.4,-0.07,7189.651
-566.4,-0.07,7264.817
-566.4,-0.07,7340.344
-566.4,-0.07,7416.255
-566.4,-0.07,7492.52
-566.4,-0.07,7569.156
-566.4,-0.07,7646.163
-566.4,-0.07,7723.533
-566.4,-0.07,7801.275
-566.4,-0.07,7879.384
-566.4,-0.07,7957.868
-566.4,-0.07,8036.711
-566.4,-0.07,8115.917
-566.4,-0.07,8195.504
-566.4,-0.07,8275.453
-566.4,-0.07,8355.767
-566.4,-0.07,8436.449
-566.4,-0.07,8517.501
-566.4,-0.07,8598.925
-566.4,-0.07,8680.719
-566.4,-0.07,8762.879
-566.4,-0.07,8845.405
-566.4,-0.07,8928.292
-566.4,-0.07,9011.545
-566.4,-0.07,9095.173
-566.4,-0.07,9179.166
-566.4,-0.07,9263.524
-566.4,-0.07,9348.249
-566.4,-0.07,9433.342
-566.4,-0.07,9518.806
-566.4,-0.07,9604.637
-566.4,-0.07,9690.847
-566.4,-0.07,9777.421
-566.4,-0.07,9864.364
-566.4,-0.07,9951.687
-566.4,-0.07,10039.38
-566.4,-0.07,10127.45
-566.4,-0.07,10215.89
-566.4,-0.07,10304.69
-566.4,-0.07,10393.86
-566.4,-0.07,10483.42
-566.4,-0.07,10573.37
-566.4,-0.07,10663.71
-566.4,-0.07,10754.43
-566.4,-0.07,10845.53
-566.4,-0.07,10937.03
-566.4,-0.07,11028.9
-566.4,-0.07,11121.15
-566.4,-0.07,11213.79
-566.4,-0.07,11306.83
-566.4,-0.07,11400.25
-566.4,-0.07,11494.06
-566.4,-0.07,11588.25
-566.4,-0.07,11682.85
-566.4,-0.07,11777.81
-566.4,-0.07,11873.15
-566.4,-0.07,11968.86
-566.4,-0.07,12064.95
-566.4,-0.07,12161.39
-566.4,-0.07,12258.2
-566.4,-0.07,12355.39
-566.4,-0.07,12452.94
-566.4,-0.07,12550.86
-566.4,-0.07,12649.16
-566.4,-0.07,12747.81
-566.4,-0.07,12846.84
-566.4,-0.07,12946.23
-566.4,-0.07,13045.99
-566.4,-0.07,13146.13
-566.4,-0.07,13246.62
-566.4,-0.07,13347.49
-566.4,-0.07,13448.73
-566.4,-0.07,13550.33
-566.4,-0.07,13652.3
-566.4,-0.07,13754.65
-566.4,-0.07,13857.37
-566.4,-0.07,13960.45
-566.4,-0.07,14063.9
-566.4,-0.07,14167.72
-566.4,-0.07,14271.91
-566.4,-0.07,14376.46
-566.4,-0.07,14481.39
-566.4,-0.07,14586.69
-566.4,-0.07,14692.35
-566.4,-0.07,14798.38
-566.4,-0.07,14904.78
-566.4,-0.07,15011.54
-566.4,-0.07,15118.68
-566.4,-0.07,15226.18
-566.4,-0.07,15334.06
-566.4,-0.07,15442.3
-566.4,-0.07,15550.91
-566.4,-0.07,15659.9
-566.4,-0.07,15769.25
-566.4,-0.07,15878.97
-566.4,-0.07,15989.07
-566.4,-0.07,16099.53
-566.4,-0.07,16210.35
-566.4,-0.07,16321.55
-566.4,-0.07,16433.13
-566.4,-0.07,16545.06
-566.4,-0.07,16657.35
-566.4,-0.07,16770.02
-566.4,-0.07,16883.07
-566.4,-0.07,16996.46
-566.4,-0.07,17110.22
-566.4,-0.07,17224.38
-566.4,-0.07,17338.89
-566.4,-0.07,17453.77
-566.4,-0.07,17569.02
-566.4,-0.07,17684.64
-566.4,-0.07,17800.63
-566.4,-0.07,17916.99
-566.4,-0.07,18033.72
-566.4,-0.07,18150.83
-566.4,-0.07,18268.31
-566.4,-0.07,18386.15
-566.4,-0.07,18504.38
-566.4,-0.07,18622.96
-566.4,-0.07,18741.91
-566.4,-0.07,18861.25
-566.4,-0.07,18980.95
-566.4,-0.07,19101.01
-566.4,-0.07,19221.46
-566.4,-0.07,19342.26
-566.4,-0.07,19463.43
-566.4,-0.07,19584.97
-566.4,-0.07,19706.89
-566.4,-0.07,19829.17
-566.4,-0.07,19951.82
-566.4,-0.07,20074.84
-566.4,-0.07,20198.23
-566.4,-0.07,20321.98
-566.4,-0.07,20446.12
-566.4,-0.07,20570.61
-566.4,-0.07,20695.48
-566.4,-0.07,20820.72
-566.4,-0.07,20946.31
-566.4,-0.07,21072.3
-566.4,-0.07,21198.65
-566.4,-0.07,21325.36
-566.4,-0.07,21452.45
-566.4,-0.07,21579.9
-566.4,-0.07,21707.74
-566.4,-0.07,21835.94
-566.4,-0.07,21964.51
-566.4,-0.07,22093.46
-566.4,-0.07,22222.77
-566.4,-0.07,22352.46
-566.4,-0.07,22482.53
-566.4,-0.07,22612.99
-566.4,-0.07,22743.81
-566.4,-0.07,22874.99
-566.4,-0.07,23006.56
-566.4,-0.07,23138.49
-566.4,-0.07,23270.8
-566.4,-0.07,23403.48
-566.4,-0.07,23536.52
-566.4,-0.07,23669.94
-566.4,-0.07,23803.72
-566.4,-0.07,23937.88
-566.4,-0.07,24072.4
-566.4,-0.07,24207.29
-566.4,-0.07,24342.57
-566.4,-0.07,24478.21
-566.4,-0.07,24614.21
-566.4,-0.07,24750.58
-566.4,-0.07,24887.32
-566.4,-0.07,25024.43
-566.4,-0.07,25161.9
-566.4,-0.07,25299.74
-566.4,-0.07,25437.95
-566.4,-0.07,25576.53
-566.4,-0.07,25715.49
-566.4,-0.07,25854.81
-566.4,-0.07,25994.49
-566.4,-0.07,26134.55
-566.4,-0.07,26274.96
-566.4,-0.07,26415.75
-566.4,-0.07,26556.95
-566.4,-0.07,26698.5
-566.4,-0.07,26840.42
-566.4,-0.07,26982.7
-566.4,-0.07,27125.35
-566.4,-0.07,27268.37
-566.4,-0.07,27411.76
-566.4,-0.07,27555.52
-566.4,-0.07,27699.63
-566.4,-0.07,27844.12
-566.4,-0.07,27988.98
-566.4,-0.07,28134.2
-566.4,-0.07,28279.8
-566.4,-0.07,28425.77
-566.4,-0.07,28572.1
-566.4,-0.07,28718.8
-566.4,-0.07,28865.88
-566.4,-0.07,29013.31
-566.4,-0.07,29161.12
-566.4,-0.07,29309.3
-566.4,-0.07,29457.85
-566.4,-0.07,29606.78
-566.4,-0.07,29756.06
-566.4,-0.07,29905.72
-566.4,-0.07,30055.74
-566.4,-0.07,30206.14
-566.4,-0.07,30356.9
-566.4,-0.07,30508.04
-566.4,-0.07,30659.54
-566.4,-0.07,30811.4
-566.4,-0.07,30963.63
-566.4,-0.07,31116.23
-566.4,-0.07,31269.21
-566.4,-0.07,31422.55
-566.4,-0.07,31576.26
-566.4,-0.07,31730.33
-566.4,-0.07,31884.77
-566.4,-0.07,32039.57
-566.4,-0.07,32194.75
-566.4,-0.07,32350.31
-566.4,-0.07,32506.21
-566.4,-0.07,32662.5
-566.4,-0.07,32819.21
-566.4,-0.07,32976.29
-566.4,-0.07,33133.73
-566.4,-0.07,33291.55
-566.4,-0.07,33449.74
-566.4,-0.07,33608.3
-566.4,-0.07,33767.23
-566.4,-0.07,33926.53
-566.4,-0.07,34086.2
-566.4,-0.07,34246.23
-566.4,-0.07,34406.65
-566.4,-0.07,34567.43
-566.4,-0.07,34728.57
-566.4,-0.07,34890.08
-566.4,-0.07,35051.96
-566.4,-0.07,35214.21
-566.4,-0.07,35376.83
-566.4,-0.07,35539.82
-566.4,-0.07,35703.18
-566.4,-0.07,35866.9
-566.4,-0.07,36030.99
-566.4,-0.07,36195.46
-566.4,-0.07,36360.29
-566.4,-0.07,36525.49
-566.4,-0.07,36691.05
-566.4,-0.07,36856.98
-566.4,-0.07,37023.28
-566.4,-0.07,37189.95
-566.4,-0.07,37356.99
-566.4,-0.07,37524.4
-566.4,-0.07,37692.18
-566.4,-0.07,37860.32
-566.4,-0.07,38028.84
-566.4,-0.07,38197.72
-566.4,-0.07,38366.97
-566.4,-0.07,38536.59
-566.4,-0.07,38706.58
-566.4,-0.07,38876.94
-566.4,-0.07,39047.67
-566.4,-0.07,39218.77
-566.4,-0.07,39390.23
-566.4,-0.07,39562.07
-566.4,-0.07,39734.27
-566.4,-0.07,39906.84
-566.4,-0.07,40079.78
-566.4,-0.07,40253.09
-566.4,-0.07,40426.76
-566.4,-0.07,40600.8
-566.4,-0.07,40775.21
-566.4,-0.07,40950
-566.4,-0.07,41125.15
-566.4,-0.07,41300.67
-566.4,-0.07,41476.56
-566.4,-0.07,41652.81
-566.4,-0.07,41829.44
-566.4,-0.07,42006.43
-566.4,-0.07,42183.78
-566.4,-0.07,42361.5
-566.4,-0.07,42539.59
-566.4,-0.07,42718.07
-566.4,-0.07,42896.92
-566.4,-0.07,43076.14
-566.4,-0.07,43255.73
-566.4,-0.07,43435.7
-566.4,-0.07,43616.03
-566.4,-0.07,43796.73
-566.4,-0.07,43977.79
-566.4,-0.07,44159.22
-566.4,-0.07,44341.02
-566.4,-0.07,44523.2
-566.4,-0.07,44705.73
-566.4,-0.07,44888.64
-566.4,-0.07,45071.92
-566.4,-0.07,45255.57
-566.4,-0.07,45439.58
-566.4,-0.07,45623.97
-566.4,-0.07,45808.73
-566.4,-0.07,45993.85
-566.4,-0.07,46179.34
-566.4,-0.07,46365.2
-566.4,-0.07,46551.43
-566.4,-0.07,46738.03
-566.4,-0.07,46925
-566.4,-0.07,47112.35
-566.4,-0.07,47300.05
-566.4,-0.07,47488.12
-566.4,-0.07,47676.57
-566.4,-0.07,47865.38
-566.4,-0.07,48054.58
-566.4,-0.07,48244.14
-566.4,-0.07,48434.07
-566.4,-0.07,48624.37
-566.4,-0.07,48815.05
-566.4,-0.07,49006.11
-566.4,-0.07,49197.53
-566.4,-0.07,49389.32
-566.4,-0.07,49581.48
-566.4,-0.07,49774.01
-566.4,-0.07,49966.91
-566.4,-0.07,50160.18
-566.4,-0.07,50353.82
-566.4,-0.07,50547.83
-566.4,-0.07,50742.2
-566.4,-0.07,50936.94
-566.4,-0.07,51132.05
-566.4,-0.07,51327.53
-566.4,-0.07,51523.38
-566.4,-0.07,51719.61
-566.4,-0.07,51916.2
-566.4,-0.07,52113.17
-566.4,-0.07,52310.51
-566.4,-0.07,52508.22
-566.4,-0.07,52706.29
-566.4,-0.07,52904.73
-566.4,-0.07,53103.55
-566.4,-0.07,53302.73
-566.4,-0.07,53502.29
-566.4,-0.07,53702.21
-566.4,-0.07,53902.5
-566.4,-0.07,54103.16
-566.4,-0.07,54304.18
-566.4,-0.07,54505.57
-566.4,-0.07,54707.34
-566.4,-0.07,54909.48
-566.4,-0.07,55111.99
-566.4,-0.07,55314.86
-566.4,-0.07,55518.11
-566.4,-0.07,55721.71
-566.4,-0.07,55925.69
-566.4,-0.07,56130.04
-566.4,-0.07,56334.75
-566.4,-0.07,56539.83
-566.4,-0.07,56745.29
-566.4,-0.07,56951.11
-566.4,-0.07,57157.29
-566.4,-0.07,57363.84
-566.4,-0.07,57570.76
-566.4,-0.07,57778.06
-566.4,-0.07,57985.71
-566.4,-0.07,58193.75
-566.4,-0.07,58402.15
-566.4,-0.07,58610.91
-566.4,-0.07,58820.04
-566.4,-0.07,59029.54
-566.4,-0.07,59239.41
-566.4,-0.07,59449.65
-566.4,-0.07,59660.25
-566.4,-0.07,59871.23
-566.4,-0.07,60082.57
-566.4,-0.07,60294.28
-566.4,-0.07,60506.36
-566.4,-0.07,60718.82
-566.4,-0.07,60931.64
-566.4,-0.07,61144.82
-566.4,-0.07,61358.38
-566.4,-0.07,61572.3
-566.4,-0.07,61786.59
-566.4,-0.07,62001.25
-566.4,-0.07,62216.29
-566.4,-0.07,62431.69
-566.4,-0.07,62647.45
-566.4,-0.07,62863.59
-566.4,-0.07,63080.09
-566.4,-0.07,63296.96
-566.4,-0.07,63514.2
-566.4,-0.07,63731.8
-566.4,-0.07,63949.78
-566.4,-0.07,64168.12
-566.4,-0.07,64386.83
-566.4,-0.07,64605.91
-566.4,-0.07,64825.36
-566.4,-0.07,65045.17
-566.4,-0.07,65265.36
-566.4,-0.07,65485.91
-566.4,-0.07,65706.84
-566.4,-0.07,65928.14
-566.4,-0.07,66149.81
-566.4,-0.07,66371.85
-566.4,-0.07,66594.25
-566.4,-0.07,66817.03
-566.4,-0.07,67040.17
-566.4,-0.07,67263.7
-566.4,-0.07,67487.58
-566.4,-0.07,67711.83
-566.4,-0.07,67936.45
-566.4,-0.07,68161.45
-566.4,-0.07,68386.81
-566.4,-0.07,68612.55
-566.4,-0.07,68838.65
-566.4,-0.07,69065.12
-566.4,-0.07,69291.95
-566.4,-0.07,69519.16
-566.4,-0.07,69746.74
-566.4,-0.07,69974.68
-566.4,-0.07,70203.01
-566.4,-0.07,70431.69
-566.4,-0.07,70660.73
-566.4,-0.07,70890.16
-566.4,-0.07,71119.95
-566.4,-0.07,71350.1
-566.4,-0.07,71580.63
-566.4,-0.07,71811.52
-566.4,-0.07,72042.78
-566.4,-0.07,72274.41
-566.4,-0.07,72506.41
-566.4,-0.07,72738.77
-566.4,-0.07,72971.5
-566.4,-0.07,73204.6
-566.4,-0.07,73438.06
-566.4,-0.07,73671.9
-566.4,-0.07,73906.1
-566.4,-0.07,74140.67
-566.4,-0.07,74375.62
-566.4,-0.07,74610.93
-566.4,-0.07,74846.6
-566.4,-0.07,75082.65
-566.4,-0.07,75319.06
-566.4,-0.07,75555.84
-566.4,-0.07,75793
-566.4,-0.07,76030.52
-566.4,-0.07,76268.41
-566.4,-0.07,76506.67
-566.4,-0.07,76745.3
-566.4,-0.07,76984.3
-566.4,-0.07,77223.66
-566.4,-0.07,77463.38
-566.4,-0.07,77703.48
-566.4,-0.07,77943.95
-566.4,-0.07,78184.77
-566.4,-0.07,78425.98
-566.4,-0.07,78667.55
-566.4,-0.07,78909.5
-566.4,-0.07,79151.8
-566.4,-0.07,79394.48
-566.4,-0.07,79637.53
-566.4,-0.07,79880.95
-566.4,-0.07,80124.72
-566.4,-0.07,80368.87
-566.4,-0.07,80613.38
-566.4,-0.07,80858.27
-566.4,-0.07,81103.52
-566.4,-0.07,81349.13
-566.4,-0.07,81595.13
-566.4,-0.07,81841.48
-566.4,-0.07,82088.22
-566.4,-0.07,82335.32
-566.4,-0.07,82582.78
-566.4,-0.07,82830.62
-566.4,-0.07,83078.83
-566.4,-0.07,83327.4
-566.4,-0.07,83576.34
-566.4,-0.07,83825.66
-566.4,-0.07,84075.34
-566.4,-0.07,84325.39
-566.4,-0.07,84575.8
-566.4,-0.07,84826.61
-566.4,-0.07,85077.78
-566.4,-0.07,85329.38
-566.4,-0.07,85581.39
-566.4,-0.07,85833.84
-566.4,-0.07,86086.8
-566.4,-0.07,86340.24
-566.4,-0.07,86594.2
-566.4,-0.07,86848.68
-566.4,-0.07,87103.66
-566.4,-0.07,87359.11
-566.4,-0.07,87615.01
-566.4,-0.07,87871.66
-566.4,-0.07,88128.71
-566.4,-0.07,88386.21
-566.4,-0.07,88644.16
PLAYER RUN ENDS
 
