 
PLAYER RUN STARTS
X Coordinates, Z Coordinates, Time (Seconds)
-550.4699,33.90017,368.5582
-550.4699,33.90017,390.7231
-550.4699,33.90017,413.2065
-550.4699,33.90017,435.9564
-550.4699,33.90017,458.9732
-550.4699,33.90017,482.3452
-550.4699,33.90017,505.9813
-550.4699,33.90017,529.8773
-550.4699,33.90017,554.0295
-550.4699,33.90017,578.4556
-550.4699,33.90017,603.1375
-550.4699,33.90017,628.0851
-550.4699,33.90017,653.2943
-550.2944,34.36234,678.7731
-549.8376,35.86541,704.5154
-549.6121,37.42287,730.5202
-549.2888,38.98186,756.7897
-548.7992,41.05909,783.3218
-548.0775,44.108,810.1146
-547.1776,47.5229,837.2026
-545.9087,50.71157,864.5767
-544.6762,53.78234,892.2266
-543.4274,56.80399,920.1486
-541.8197,59.86175,948.3578
-539.4135,62.65996,976.8775
-537.3453,65.55965,1005.694
-535.3653,68.49475,1034.804
-533.4206,71.4017,1064.207
-531.6625,74.41459,1093.9
-530.0815,77.37794,1123.872
-528.5432,80.31306,1154.121
-527.0295,83.20913,1184.643
-525.4515,86.23631,1215.448
-523.9293,89.16179,1246.528
-521.8413,92.92524,1277.964
-519.7069,96.06268,1309.723
-517.5372,99.2542,1341.8
-515.4176,102.3362,1374.19
-513.4606,105.1648,1406.865
-511.4507,108.0688,1439.835
-510.6138,109.2761,1473.092
-510.6138,109.2761,1506.627
-509.1827,111.3363,1540.448
-506.9459,114.434,1574.585
-507.2329,114.8576,1609.038
-507.9545,113.8855,1643.784
-508.8647,112.7453,1678.828
-507.2612,114.4631,1714.174
-505.9507,113.4638,1749.874
-502.5593,111.0283,1785.954
-500.2891,109.8086,1822.396
-496.4241,107.5628,1859.218
-492.5461,105.1125,1896.424
-488.8756,102.6557,1933.997
-485.4234,100.2039,1971.923
-481.9382,97.7216,2010.205
-478.4193,95.16295,2048.851
-474.9885,92.59779,2087.853
-471.5914,89.90533,2127.217
-468.6804,87.1517,2166.937
-465.7597,85.49987,2207.029
-462.2199,84.8067,2247.5
-458.7018,83.94766,2288.356
-455.1834,82.99722,2329.589
-451.7269,81.97017,2371.212
-448.2667,80.38494,2413.234
-444.2017,79.41767,2455.645
-440.3017,78.36082,2498.44
-436.8727,77.28759,2541.611
-433.7742,77.81346,2585.128
-430.7684,78.44965,2628.962
-426.8661,78.18671,2673.165
-422.4403,77.86503,2717.739
-418.1397,77.11114,2762.677
-413.9525,76.36645,2807.968
-409.6885,75.627,2853.622
-405.4525,75.0291,2899.631
-401.183,74.30335,2946.002
-396.8881,73.39846,2992.739
-392.3431,72.4061,3039.862
-388.0014,71.36727,3087.358
-383.764,70.40869,3135.218
-379.6382,69.28161,3183.432
-375.4482,68.13649,3232.002
-371.227,67.12816,3280.946
-367.043,66.14216,3330.242
-362.839,65.10968,3379.899
-358.6632,64.06194,3429.916
-354.4835,63.01854,3480.292
-350.259,61.97929,3531.029
-346.0698,61.10962,3582.124
-341.8158,60.39317,3633.578
-337.5183,59.29623,3685.401
-333.2939,57.65895,3737.603
-329.2226,56.0811,3790.17
-325.2766,54.52987,3843.089
-321.4116,52.70799,3896.365
-317.2522,51.59882,3950.003
-312.873,51.95211,4004.01
-308.7945,52.93871,4058.366
-304.517,53.08836,4113.083
-300.0903,53.04322,4168.166
-295.8394,52.45053,4223.608
-292.4643,50.1045,4279.402
-290.1181,46.86849,4335.53
-288.6607,43.39162,4391.975
-285.8776,40.61756,4448.761
-281.255,40.73864,4505.938
-277.6006,42.71551,4563.461
-274.5704,44.96519,4621.305
-272.7449,48.01003,4679.443
-271.2375,51.34516,4737.887
-269.7681,54.603,4796.63
-268.3295,57.94015,4855.674
-266.9843,61.2044,4915.012
-265.6375,64.48098,4974.645
-264.244,67.7752,5034.575
-262.6829,71.06677,5094.812
-261.1089,74.10548,5155.334
-259.503,77.20525,5216.145
 
PLAYER RUN STARTS
X Coordinates, Z Coordinates, Time (Seconds)
-566.4,-0.07,0.6748231
-566.4,-0.07,1.634735
-566.4,-0.07,2.903919
-566.4,-0.07,4.478756
-566.4,-0.07,6.341049
-566.4,-0.07,8.498799
-566.4,-0.07,10.97165
-566.4,-0.07,13.81417
-566.4,-0.07,16.9491
-566.4,-0.07,20.38553
-566.4,-0.07,24.08645
-566.4,-0.07,28.06798
-566.4,-0.07,32.36174
-566.4,-0.07,36.93015
-566.4,-0.07,41.7702
-566.4,-0.07,46.90985
-566.4,-0.07,52.32563
-566.4,-0.07,58.01665
-566.4,-0.07,64.22457
-566.4,-0.07,70.70514
-566.4,-0.07,77.48917
-566.4,-0.07,84.58614
-566.4,-0.07,91.95632
-566.4,-0.07,99.59142
-566.4,-0.07,107.5058
-566.3102,0.1664055,115.7135
-565.3006,2.826879,124.1985
-563.4927,5.085357,132.9732
-561.4151,6.999446,142.0468
-559.273,8.973054,151.4273
-557.2103,10.87371,161.1031
-554.9686,12.93856,171.0997
-552.7521,14.98095,181.415
-550.6702,16.89836,192.0275
